Gene Set,Ratio of Protein In Gene Set,Number of Protein in Gene Set,Protein From Network,P-value,FDR,Nodes
IL2 signaling events mediated by PI3K(N),0.0032,35,3,5.72E-03,0.0818,"JAK3,IL2RG,PTPN11"
Jak-STAT signaling pathway(K),0.0145,158,6,5.85E-03,0.0818,"IL7R,JAK3,IL2RG,IL21R,IL12RB1,PTPN11"
Signaling by the B Cell Receptor (BCR)(R),0.0248,270,8,6.68E-03,0.0897,"IER3,ITPR1,DAPP1,IGHM,IGLC1,IGHD,IGKC,PTPN11"
Interferon gamma signaling(R),0.0067,73,4,6.90E-03,0.0897,"CIITA,IRF8,PTPN1,PTPN11"
Leukocyte transendothelial migration(K),0.0107,116,5,6.98E-03,0.0908,"ITGB2,ITGAL,MMP9,CXCR4,PTPN11"
il 6 signaling pathway(B),0.0012,13,2,8.01E-03,0.0962,"JAK3,PTPN11"
il 4 signaling pathway(B),0.0013,14,2,9.23E-03,0.1037,"HMGA1,IL2RG"
Urokinase-type plasminogen activator (uPA) and uPAR-mediated signaling(N),0.0039,42,3,9.39E-03,0.1037,"FN1,ITGB2,MMP9"
CXCR4-mediated signaling events(N),0.0074,80,4,9.43E-03,0.1037,"GRK6,MMP9,CXCR4,PTPN11"
"Transport of glucose and other sugars, bile salts and organic acids, metal ions and amine compounds(R)",0.004,43,3,0.01,0.11,"SLC16A3,SLC11A1,SLC2A5"
Integrins in angiogenesis(N),0.0043,47,3,0.0127,0.127,"FN1,SPP1,PTPN11"
Chemokine signaling pathway(K),0.0172,187,6,0.0127,0.127,"GRK6,JAK3,CCR2,CCL11,CXCR4,CCL19"
SHP2 signaling(N),0.0047,51,3,0.0157,0.1574,"JAK3,IL2RG,PTPN11"
Mineral absorption(K),0.0048,52,3,0.0166,0.1657,"SLC8A1,SLC11A1,VDR"
IL2-mediated signaling events(N),0.005,54,3,0.0183,0.1726,"JAK3,IL2RG,PTPN11"
Interleukin signaling pathway(P),0.0051,55,3,0.0192,0.1726,"RPS6KA1,JAK3,IL12RB1"
Legionellosis(K),0.0051,55,3,0.0192,0.1726,"ARF1,ITGB2,TLR2"
Phagosome(K),0.0142,154,5,0.0213,0.1918,"COMP,CLEC7A,ITGB2,TCIRG1,TLR2"
Integrin signalling pathway(P),0.0145,158,5,0.0235,0.192,"FN1,ARF1,ITGB2,ITGAL,ITGAX"
Toll-like receptor signaling pathway(K),0.0098,106,4,0.0238,0.192,"IKBKE,TLR8,TLR2,SPP1"
PI3K-Akt signaling pathway(K),0.0314,341,8,0.024,0.192,"COMP,FN1,IL7R,JAK3,TLR2,IL2RG,SPP1,PPP2R2B"
Insulin resistance(K),0.01,109,4,0.026,0.206,"RPS6KA1,PPARGC1B,PTPN1,PTPN11"
Costimulation by the CD28 family(R),0.0058,63,3,0.0272,0.206,"TRAC,TRBC1,PTPN11"
VEGFR3 signaling in lymphatic endothelium(N),0.0023,25,2,0.0274,0.206,"RPS6KA1,FN1"
activation of camp-dependent protein kinase pka(B),0.0024,26,2,0.0294,0.206,"CCL11,CXCR4"
ÃŸ-arrestins in gpcr desensitization(B),0.0024,26,2,0.0294,0.206,"CCL11,CXCR4"
hiv-1 defeats host-mediated resistance by cem15(B),0.0003,3,1,0.0302,0.2113,CXCR4
NOD-like receptor signaling pathway(K),0.0156,170,5,0.0308,0.2154,"ITPR1,NLRP3,TRPV2,PSTPIP1,IKBKE"
Integrin alphaIIb beta3 signaling(R),0.0025,27,2,0.0315,0.2154,"FN1,PTPN1"
Interferon alpha/beta signaling(R),0.0063,68,3,0.033,0.2154,"IRF8,PTPN1,PTPN11"
role of ÃŸ-arrestins in the activation and targeting of map kinases(B),0.0026,28,2,0.0337,0.2154,"CCL11,CXCR4"
AP-1 transcription factor network(N),0.0064,70,3,0.0355,0.2154,"DMP1,MMP9,AGT"
EGF receptor (ErbB1) signaling pathway(N),0.0027,29,2,0.0359,0.2154,"PTPN1,PTPN11"
BARD1 signaling events(N),0.0027,29,2,0.0359,0.2154,"FANCD2,FANCA"
Osteopontin-mediated events(N),0.0027,29,2,0.0359,0.2154,"MMP9,SPP1"
IGF1 pathway(N),0.0028,30,2,0.0382,0.229,"PTPN1,PTPN11"
amb2 Integrin signaling(N),0.0029,31,2,0.0405,0.2378,"ITGB2,MMP9"
Complement cascade(R),0.0117,127,4,0.0418,0.2378,"FCN1,IGHG1,IGLC1,IGKC"
"ROS, RNS production in phagocytes(R)",0.0029,32,2,0.0429,0.2378,"SLC11A1,TCIRG1"
roles of ÃŸ arrestin dependent recruitment of src kinases in gpcr signaling(B),0.0029,32,2,0.0429,0.2378,"CCL11,CXCR4"
Pertussis(K),0.007,76,3,0.0435,0.2378,"NLRP3,ITGB2,IRF8"
N-cadherin signaling events(N),0.003,33,2,0.0453,0.2378,"PTPN1,PTPN11"
Complement and coagulation cascades(K),0.0073,79,3,0.0478,0.2378,"SERPINA1,ITGB2,ITGAX"
DAP12 interactions(R),0.0297,323,7,0.0482,0.2378,"CLEC5A,IER3,ITPR1,SIRPB1,JAK3,IL2RG,PTPN11"
Natural killer cell mediated cytotoxicity(K),0.0124,135,4,0.0503,0.2378,"SH2D1A,ITGB2,ITGAL,PTPN11"
Signaling events mediated by TCPTP(N),0.0032,35,2,0.0503,0.2378,"JAK3,PTPN1"
Endocytosis(K),0.0239,260,6,0.0511,0.2378,"ACAP1,GRK6,ARF1,PSD4,CXCR4,IL2RG"
ECM-receptor interaction(K),0.0075,82,3,0.0523,0.2378,"COMP,FN1,SPP1"
chrebp regulation by carbohydrates and camp(B),0.0033,36,2,0.0528,0.2378,"CCL11,CXCR4"
Fanconi Anemia Pathway(R),0.0033,36,2,0.0528,0.2378,"FANCD2,FANCA"
Platelet Aggregation (Plug Formation)(R),0.0034,37,2,0.0555,0.2378,"FN1,PTPN1"
ATR signaling pathway(N),0.0034,37,2,0.0555,0.2378,"FANCD2,PPP2R2B"
GMCSF-mediated signaling events(N),0.0034,37,2,0.0555,0.2378,"IRF8,PTPN11"
Fc epsilon receptor (FCERI) signaling(R),0.0373,405,8,0.0561,0.2378,"IER3,ITPR1,IGLC1,JAK3,LAT2,IL2RG,IGKC,PTPN11"
Regulation of RAC1 activity(N),0.0035,38,2,0.0581,0.2378,"ARHGAP9,DEF6"
"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways(R)",0.0035,38,2,0.0581,0.2378,"NLRP3,PSTPIP1"
stat3 signaling pathway(B),0.0006,6,1,0.0595,0.2378,JAK3
cell to cell adhesion signaling(B),0.0006,6,1,0.0595,0.2378,PTPN11
Proteoglycans in cancer(K),0.0189,205,5,0.0597,0.2389,"ITPR1,FN1,MMP9,TLR2,PTPN11"
Class I PI3K signaling events(N),0.0037,40,2,0.0636,0.2543,"DAPP1,ARF1"
Bladder cancer(K),0.0038,41,2,0.0664,0.2567,"MMP9,TYMP"
activation of csk by camp-dependent protein kinase inhibits signaling through the t cell receptor(B),0.0038,41,2,0.0664,0.2567,"CCL11,CXCR4"
Th1 and Th2 cell differentiation(K),0.0085,92,3,0.0688,0.2567,"JAK3,IL2RG,IL12RB1"
ion channels and their functional role in vascular endothelium(B),0.004,43,2,0.0721,0.2567,"CCL11,CXCR4"
Beta3 integrin cell surface interactions(N),0.004,43,2,0.0721,0.2567,"FN1,SPP1"
il-2 receptor beta chain in t cell activation(B),0.004,44,2,0.075,0.2567,"IL2RG,PTPN11"
ABC transporters(K),0.0041,45,2,0.0779,0.2567,"ABCD3,ABCC3"
Fanconi anemia pathway(N),0.0041,45,2,0.0779,0.2567,"FANCD2,FANCA"
Validated transcriptional targets of deltaNp63 isoforms(N),0.0041,45,2,0.0779,0.2567,"VDR,TOP2A"
Insulin Pathway(N),0.0041,45,2,0.0779,0.2567,"PTPN1,PTPN11"
pertussis toxin-insensitive ccr5 signaling in macrophage(B),0.0007,8,1,0.0785,0.2567,CXCR4
Amoebiasis(K),0.009,98,3,0.0797,0.2567,"FN1,ITGB2,TLR2"
Fcgamma receptor (FCGR) dependent phagocytosis(R),0.0146,159,4,0.0807,0.2567,"IGHG1,ITPR1,IGLC1,IGKC"
Calcineurin-regulated NFAT-dependent transcription in lymphocytes(N),0.0042,46,2,0.0809,0.2567,"FOXP3,PTPN1"
Regulation of RhoA activity(N),0.0042,46,2,0.0809,0.2567,"ARHGAP9,DEF6"
Endocrine and other factor-regulated calcium reabsorption(K),0.0043,47,2,0.0839,0.2567,"SLC8A1,VDR"
HDR through MMEJ (alt-NHEJ)(R),0.0008,9,1,0.0879,0.2567,POLQ
Angiopoietin receptor Tie2-mediated signaling(N),0.0046,50,2,0.0931,0.2567,"FN1,PTPN11"
Response to elevated platelet cytosolic Ca2+(R),0.0098,106,3,0.0952,0.2567,"STXBP2,FN1,SERPINA1"
Vibrio cholerae infection(K),0.0047,51,2,0.0963,0.2567,"ARF1,TCIRG1"
Vitamin D metabolism and pathway(P),0.0009,10,1,0.0971,0.2567,VDR
cxcr4 signaling pathway(B),0.0009,10,1,0.0971,0.2567,CXCR4
no2-dependent il-12 pathway in nk cells(B),0.0009,10,1,0.0971,0.2567,IL12RB1
g-protein signaling through tubby proteins(B),0.0009,10,1,0.0971,0.2567,CCL11
activation of pkc through g-protein coupled receptors(B),0.0009,10,1,0.0971,0.2567,CCL11
Cardiac conduction(R),0.0098,107,3,0.0973,0.2567,"SLC8A1,ITPR1,ATP2A3"
Senescence-Associated Secretory Phenotype (SASP)(R),0.0048,52,2,0.0994,0.2567,"RPS6KA1,UBE2C"
Signaling by MET(R),0.0048,52,2,0.0994,0.2567,"PTPN1,PTPN11"
il-7 signal transduction(B),0.001,11,1,0.1063,0.2567,IL2RG
lck and fyn tyrosine kinases in initiation of tcr activation(B),0.001,11,1,0.1063,0.2567,PTPN11
il 2 signaling pathway(B),0.001,11,1,0.1063,0.2567,IL2RG
Fanconi anemia pathway(K),0.0051,55,2,0.1091,0.2567,"FANCD2,FANCA"
Staphylococcus aureus infection(K),0.0052,56,2,0.1124,0.2567,"ITGB2,ITGAL"
epo signaling pathway(B),0.0011,12,1,0.1154,0.2567,PTPN11
insulin signaling pathway(B),0.0011,12,1,0.1154,0.2567,PTPN11
Calcium signaling pathway(K),0.0167,182,4,0.1168,0.2567,"SLC8A1,ORAI2,ITPR1,ATP2A3"
Signaling by PDGF(R),0.0302,328,6,0.1201,0.2567,"IER3,ITPR1,JAK3,IL2RG,SPP1,PTPN11"
Toxoplasmosis(K),0.0109,118,3,0.1207,0.2567,"CIITA,TLR2,ALOX5"
PI Metabolism(R),0.0054,59,2,0.1224,0.2567,"INPP4A,ARF1"
Viral myocarditis(K),0.0054,59,2,0.1224,0.2567,"ITGB2,ITGAL"
Metabolism of Angiotensinogen to Angiotensins(R),0.0012,13,1,0.1244,0.2567,AGT
il 3 signaling pathway(B),0.0012,13,1,0.1244,0.2567,PTPN11
il12 and stat4 dependent signaling pathway in th1 development(B),0.0012,13,1,0.1244,0.2567,IL12RB1
PDGFR-beta signaling pathway(N),0.011,120,3,0.1252,0.2567,"PTPN1,PTPN11,PPP2R2B"
HTLV-I infection(K),0.0237,258,5,0.1252,0.2567,"PTTG1,ITGB2,ITGAL,JAK3,IL2RG"
Validated targets of C-MYC transcriptional repression(N),0.0055,60,2,0.1258,0.2567,"SLC11A1,IRF8"
IL12-mediated signaling events(N),0.0056,61,2,0.1292,0.2567,"IL2RG,IL12RB1"
TCR signaling(R),0.0113,123,3,0.132,0.2567,"TRAC,TRBC1,FYB"
Fc-epsilon receptor I signaling in mast cells(N),0.0057,62,2,0.1326,0.2567,"LAT2,PTPN11"
IL5-mediated signaling events(N),0.0013,14,1,0.1333,0.2567,PTPN11
Ras signaling in the CD4+ TCR pathway(N),0.0013,14,1,0.1333,0.2567,PTPN7
Glycosaminoglycan biosynthesis - keratan sulfate(K),0.0013,14,1,0.1333,0.2567,ST3GAL3
Oocyte meiosis(K),0.0114,124,3,0.1343,0.2567,"PTTG1,RPS6KA1,ITPR1"
Signaling events mediated by VEGFR1 and VEGFR2(N),0.0058,63,2,0.1361,0.2567,"ARF1,PTPN11"
Downstream signaling in naïve CD8+ T cells(N),0.0059,64,2,0.1395,0.2567,"IL2RG,PTPN7"
Signalling by NGF(R),0.0387,421,7,0.1402,0.2567,"RPS6KA1,IER3,ITPR1,JAK3,IL2RG,FGD2,PTPN11"
Prolactin receptor signaling(R),0.0014,15,1,0.1421,0.2567,PTPN11
Arf6 downstream pathway(N),0.0014,15,1,0.1421,0.2567,ARF1
Interferon-gamma signaling pathway(P),0.0014,15,1,0.1421,0.2567,PTPN11
Renin secretion(K),0.006,65,2,0.143,0.2567,"ITPR1,AGT"
HIF-1-alpha transcription factor network(N),0.006,65,2,0.143,0.2567,"ITGB2,CXCR4"
Beta1 integrin cell surface interactions(N),0.0061,66,2,0.1465,0.2567,"FN1,SPP1"
Long-term potentiation(K),0.0062,67,2,0.15,0.2567,"RPS6KA1,ITPR1"
TCR signaling in naïve CD4+ T cells(N),0.0062,67,2,0.15,0.2567,"FYB,PTPN11"
control of gene expression by vitamin d receptor(B),0.0015,16,1,0.1509,0.2567,VDR
RAF-independent MAPK1/3 activation(R),0.0015,16,1,0.1509,0.2567,PTPN11
Focal adhesion(K),0.0185,201,4,0.1509,0.2567,"COMP,FN1,PARVG,SPP1"
Direct p53 effectors(N),0.0121,132,3,0.1532,0.2567,"VDR,SH2D1A,SPP1"
Epithelial cell signaling in Helicobacter pylori infection(K),0.0063,68,2,0.1536,0.2567,"TCIRG1,PTPN11"
Syndecan-1-mediated signaling events(N),0.0016,17,1,0.1595,0.2567,MMP9
Beta5 beta6 beta7 and beta8 integrin cell surface interactions(N),0.0016,17,1,0.1595,0.2567,FN1
Inflammation mediated by chemokine and cytokine signaling pathway(P),0.0065,71,2,0.1643,0.2567,"GRK6,ITGAL"
C-type lectin receptors (CLRs)(R),0.0128,139,3,0.1704,0.2567,"CLEC4D,ITPR1,CLEC7A"
Leishmaniasis(K),0.0067,73,2,0.1715,0.2567,"ITGB2,TLR2"
Signaling by SCF-KIT(R),0.0267,290,5,0.1761,0.2567,"IER3,JAK3,MMP9,IL2RG,PTPN11"
Regulation of actin cytoskeleton(K),0.0197,214,4,0.1763,0.2567,"FN1,ITGB2,ITGAL,ITGAX"
cyclins and cell cycle regulation(B),0.0017,19,1,0.1765,0.2567,PTPN11
cystic fibrosis transmembrane conductance regulator (cftr) and beta 2 adrenergic receptor (b2ar) pathway(B),0.0017,19,1,0.1765,0.2567,CCL11
fas signaling pathway (cd95)(B),0.0017,19,1,0.1765,0.2567,PTPN11
Validated targets of C-MYC transcriptional activation(N),0.0069,75,2,0.1788,0.2567,"HMGA1,MMP9"
Arf1 pathway(N),0.0018,20,1,0.1849,0.2567,ARF1
the co-stimulatory signal during t-cell activation(B),0.0018,20,1,0.1849,0.2567,PTPN11
role of brca1 brca2 and atr in cancer susceptibility(B),0.0018,20,1,0.1849,0.2567,FANCA
Hepatitis B(K),0.0134,146,3,0.1881,0.2567,"IKBKE,MMP9,TLR2"
cell cycle: g1/s check point(B),0.0019,21,1,0.1932,0.2567,PTPN11
erk1/erk2 mapk signaling pathway(B),0.0019,21,1,0.1932,0.2567,PTPN11
growth hormone signaling pathway(B),0.0019,21,1,0.1932,0.2567,PTPN11
igf-1 signaling pathway(B),0.0019,21,1,0.1932,0.2567,PTPN11
how progesterone initiates the oocyte maturation(B),0.0019,21,1,0.1932,0.2567,PTPN11
Signaling events mediated by Hepatocyte Growth Factor Receptor (c-Met)(N),0.0074,80,2,0.1971,0.2567,"PTPN1,PTPN11"
ccr3 signaling in eosinophils(B),0.002,22,1,0.2014,0.2567,CCL11
Other types of O-glycan biosynthesis(K),0.002,22,1,0.2014,0.2567,ST3GAL3
APC/C-mediated degradation of cell cycle proteins(R),0.0076,83,2,0.2083,0.2567,"PTTG1,UBE2C"
Effects of PIP2 hydrolysis(R),0.0021,23,1,0.2096,0.2567,ITPR1
Renin-angiotensin system(K),0.0021,23,1,0.2096,0.2567,AGT
role of mef2d in t-cell apoptosis(B),0.0021,23,1,0.2096,0.2567,PTPN11
Signaling events mediated by PRL(N),0.0021,23,1,0.2096,0.2567,AGT
Mannose type O-glycan biosynthesis(K),0.0021,23,1,0.2096,0.2567,ST3GAL3
corticosteroids and cardioprotection(B),0.0022,24,1,0.2176,0.2567,CCL11
nfkb activation by nontypeable hemophilus influenzae(B),0.0022,24,1,0.2176,0.2567,TLR2
Growth hormone receptor signaling(R),0.0022,24,1,0.2176,0.2567,PTPN1
ABC-family proteins mediated transport(R),0.008,87,2,0.2232,0.2567,"ABCD3,ABCC3"
Signaling by EGFR(R),0.0292,317,5,0.2241,0.2567,"IER3,ITPR1,JAK3,IL2RG,PTPN11"
ras-independent pathway in nk cell-mediated cytotoxicity(B),0.0023,25,1,0.2256,0.2567,PTPN11
Bile acid and bile salt metabolism(R),0.0023,25,1,0.2256,0.2567,ABCC3
S1P3 pathway(N),0.0023,25,1,0.2256,0.2567,CXCR4
Endogenous TLR signaling(N),0.0023,25,1,0.2256,0.2567,TLR2
IL3-mediated signaling events(N),0.0024,26,1,0.2335,0.2567,PTPN11
RXR and RAR heterodimerization with other nuclear receptor(N),0.0024,26,1,0.2335,0.2567,VDR
IL27-mediated signaling events(N),0.0024,26,1,0.2335,0.2567,IL12RB1
Salivary secretion(K),0.0083,90,2,0.2345,0.2567,"ITPR1,LYZ"
DNA Damage/Telomere Stress Induced Senescence(R),0.0025,27,1,0.2413,0.2567,HMGA1
VEGFR1 specific signals(N),0.0025,27,1,0.2413,0.2567,PTPN11
Glycosphingolipid biosynthesis - lacto and neolacto series(K),0.0025,27,1,0.2413,0.2567,ST3GAL3
Collecting duct acid secretion(K),0.0025,27,1,0.2413,0.2567,TCIRG1
FGF signaling pathway(P),0.0085,92,2,0.242,0.2567,"PTPN11,PPP2R2B"
cGMP-PKG signaling pathway(K),0.0155,168,3,0.2464,0.2567,"SLC8A1,ITPR1,ATP2A3"
role of erbb2 in signal transduction and oncology(B),0.0026,28,1,0.249,0.2567,JAK3
Dorso-ventral axis formation(K),0.0026,28,1,0.249,0.2567,ETV6
Ion channel transport(R),0.0156,169,3,0.2491,0.2567,"TRPV2,ATP2A3,TCIRG1"
NF-kappa B signaling pathway(K),0.0087,95,2,0.2533,0.2567,"LTB,CCL19"
CD40/CD40L signaling(N),0.0027,29,1,0.2567,0.2567,JAK3
Pancreatic secretion(K),0.0088,96,2,0.2571,0.2571,"ITPR1,ATP2A3"
Hematopoietic cell lineage(K),0.0089,97,2,0.2608,0.2608,"IL7R,CD5"
Pentose phosphate pathway(K),0.0028,30,1,0.2642,0.2642,FBP1
Retinoic acid receptors-mediated signaling(N),0.0028,30,1,0.2642,0.2642,VDR
Influenza A(K),0.0161,175,3,0.2656,0.2656,"NLRP3,CIITA,IKBKE"
Phosphatidylinositol signaling system(K),0.0091,99,2,0.2684,0.2684,"INPP4A,ITPR1"
Inflammatory mediator regulation of TRP channels(K),0.0091,99,2,0.2684,0.2684,"ITPR1,TRPV2"
Aurora A signaling(N),0.0029,31,1,0.2717,0.2717,TPX2
Asthma(K),0.0029,31,1,0.2717,0.2717,CCL11
Antifolate resistance(K),0.0029,31,1,0.2717,0.2717,ABCC3
Estrogen signaling pathway(K),0.0092,100,2,0.2722,0.2722,"ITPR1,MMP9"
DAG and IP3 signaling(R),0.0029,32,1,0.2792,0.2792,ITPR1
toll-like receptor pathway(B),0.0029,32,1,0.2792,0.2792,TLR2
Syndecan-2-mediated signaling events(N),0.0029,32,1,0.2792,0.2792,FN1
Glucagon signaling pathway(K),0.0095,103,2,0.2835,0.2835,"ITPR1,FBP1"
Fructose and mannose metabolism(K),0.003,33,1,0.2865,0.2865,FBP1
Trk receptor signaling mediated by the MAPK pathway(N),0.003,33,1,0.2865,0.2865,RPS6KA1
EPO signaling pathway(N),0.003,33,1,0.2865,0.2865,PTPN11
Chagas disease (American trypanosomiasis)(K),0.0096,104,2,0.2873,0.2873,"TLR2,PPP2R2B"
Herpes simplex infection(K),0.017,185,3,0.2932,0.2932,"IKBKE,TLR2,PTPN11"
Arf6 trafficking events(N),0.0031,34,1,0.2938,0.2938,ACAP1
IL1-mediated signaling events(N),0.0031,34,1,0.2938,0.2938,IL1RN
ATM pathway(N),0.0031,34,1,0.2938,0.2938,FANCD2
Arf6 signaling events(N),0.0032,35,1,0.301,0.301,ACAP1
CXCR3-mediated signaling events(N),0.0032,35,1,0.301,0.301,CCL11
signal transduction through il1r(B),0.0032,35,1,0.301,0.301,IL1RN
Arachidonic acid metabolism(R),0.0033,36,1,0.3081,0.3081,ALOX5
PIP3 activates AKT signaling(R),0.0102,111,2,0.3136,0.3136,"IER3,PTPN11"
Signaling by Insulin receptor(R),0.0255,277,4,0.3141,0.3141,"TCIRG1,JAK3,IL2RG,PTPN11"
Validated transcriptional targets of AP1 family members Fra1 and Fra2(N),0.0034,37,1,0.3152,0.3152,MMP9
IL23-mediated signaling events(N),0.0034,37,1,0.3152,0.3152,IL12RB1
ErbB2/ErbB3 signaling events(N),0.0034,37,1,0.3152,0.3152,PTPN11
Inositol phosphate metabolism(R),0.0034,37,1,0.3152,0.3152,INPP4A
nfat and hypertrophy of the heart (B),0.0034,37,1,0.3152,0.3152,ATP2A3
Serotonergic synapse(K),0.0104,113,2,0.3211,0.3211,"ITPR1,ALOX5"
Iron uptake and transport(R),0.0035,38,1,0.3221,0.3221,TCIRG1
Pre-NOTCH Expression and Processing(R),0.0035,38,1,0.3221,0.3221,ATP2A3
Signaling events regulated by Ret tyrosine kinase(N),0.0036,39,1,0.3291,0.3291,PTPN11
Formation of Fibrin Clot (Clotting Cascade)(R),0.0036,39,1,0.3291,0.3291,SERPINE2
IFN-gamma pathway(N),0.0037,40,1,0.3359,0.3359,PTPN11
Signaling by FGFR3(R),0.0037,40,1,0.3359,0.3359,PTPN11
FOXM1 transcription factor network(N),0.0037,40,1,0.3359,0.3359,FOXM1
Gastrin-CREB signalling pathway via PKC and MAPK(R),0.0346,376,5,0.3395,0.3395,"RPS6KA1,ITPR1,JAK3,IL2RG,AGT"
Signaling by FGFR4(R),0.0038,41,1,0.3427,0.3427,PTPN11
Netrin-1 signaling(R),0.0039,42,1,0.3494,0.3494,PTPN11
FOXA1 transcription factor network(N),0.0039,42,1,0.3494,0.3494,SERPINA1
Plasma membrane estrogen receptor signaling(N),0.0039,42,1,0.3494,0.3494,MMP9
Neurotrophin signaling pathway(K),0.0111,121,2,0.3508,0.3508,"RPS6KA1,PTPN11"
Lysosome(K),0.0113,123,2,0.3582,0.3582,"SLC11A1,TCIRG1"
Signaling by Leptin(R),0.0192,209,3,0.3601,0.3601,"JAK3,IL2RG,PTPN11"
Binding and Uptake of Ligands by Scavenger Receptors(R),0.0114,124,2,0.3618,0.3618,"IGLC1,IGKC"
AMPK signaling pathway(K),0.0114,124,2,0.3618,0.3618,"FBP1,PPP2R2B"
PLK1 signaling events(N),0.004,44,1,0.3626,0.3626,TPX2
Rap1 signaling pathway(K),0.0195,212,3,0.3684,0.3684,"ITGB2,ITGAL,FYB"
Hexose transport(R),0.0041,45,1,0.3691,0.3691,SLC2A5
trans-Golgi Network Vesicle Budding(R),0.0041,45,1,0.3691,0.3691,ARF1
Integrin-linked kinase signaling(N),0.0041,45,1,0.3691,0.3691,PARVG
Carbohydrate digestion and absorption(K),0.0042,46,1,0.3755,0.3755,SLC2A5
Drug metabolism - other enzymes(K),0.0042,46,1,0.3755,0.3755,TYMP
GPCR ligand binding(R),0.0363,395,5,0.378,0.378,"PTGDR,CCR2,CXCR4,CCL19,AGT"
IL6-mediated signaling events(N),0.0043,47,1,0.3819,0.3819,PTPN11
Amyloid fiber formation(R),0.0043,47,1,0.3819,0.3819,LYZ
Dopaminergic synapse(K),0.012,130,2,0.3837,0.3837,"ITPR1,PPP2R2B"
