Gene Set,Ratio of Protein In Gene Set,Number of Protein in Gene Set,Protein From Network,P-value,FDR,Nodes
amb2 Integrin signaling(N),0.0029,31,7,1.90E-06,7.49E-05,"HCK,SELPLG,PLAT,PLAU,ITGAM,ITGB2,MMP9"
Chemokine signaling pathway(K),0.0172,187,15,1.97E-06,7.49E-05,"PREX1,PRKCB,PIK3R5,RAC2,HCK,CXCR4,CXCR1,CXCR2,CCL18,CCL24,CXCL13,FGR,DOCK2,CCL4,CCL3"
Malaria(K),0.0045,49,8,3.77E-06,1.32E-04,"HBB,HBA1,IL1B,TLR4,TLR2,ITGB2,CR1,THBS1"
Response to elevated platelet cytosolic Ca2+(R),0.0098,106,11,4.50E-06,1.49E-04,"SPARC,PRKCB,CD109,FN1,FERMT3,ECM1,SERPINA1,FLNA,PLEK,SRGN,THBS1"
Cytokine-cytokine receptor interaction(K),0.0244,265,17,7.78E-06,2.41E-04,"IL1R2,IL1B,CXCR4,CXCR1,CXCR2,CCL18,CCL24,IL10RA,OSM,CSF3R,CXCL13,IL18RAP,CSF2RB,TNFRSF10C,TNFRSF1B,CCL4,CCL3"
Legionellosis(K),0.0051,55,8,8.66E-06,2.51E-04,"CD14,IL1B,TLR4,TLR2,HSPA6,ITGAM,ITGB2,CR1"
Amoebiasis(K),0.009,98,10,1.42E-05,3.83E-04,"PRKCB,IL1R2,PIK3R5,CD14,FN1,IL1B,TLR4,TLR2,ITGAM,ITGB2"
Toll-like receptor signaling pathway(K),0.0098,106,10,2.75E-05,7.15E-04,"PIK3R5,CD14,FOS,IL1B,TLR8,TLR4,TLR2,SPP1,CCL4,CCL3"
Beta1 integrin cell surface interactions(N),0.0061,66,8,3.15E-05,7.87E-04,"CD14,FN1,SPP1,PLAU,TGFBI,PLAUR,ITGA5,THBS1"
IL8- and CXCR2-mediated signaling events(N),0.0031,34,6,4.12E-05,9.47E-04,"PRKCB,RAC2,HCK,CXCR2,FGR,DOCK2"
Fc gamma R-mediated phagocytosis(K),0.0086,93,9,5.73E-05,1.26E-03,"PRKCB,PIK3R5,RAC2,HCK,PTPRC,FCGR3A,DOCK2,FCGR2A,FCGR2B"
Hematopoietic cell lineage(K),0.0089,97,9,7.87E-05,1.65E-03,"IL1R2,CD14,CD37,MME,IL1B,CSF3R,ITGAM,CR1,ITGA5"
Pertussis(K),0.007,76,8,8.36E-05,1.67E-03,"CD14,FOS,IL1B,TLR4,NLRP3,ITGAM,ITGB2,ITGA5"
Endogenous TLR signaling(N),0.0023,25,5,1.02E-04,1.99E-03,"CD14,TLR4,TLR2,S100A9,S100A8"
Proteoglycans in cancer(K),0.0189,205,13,1.05E-04,1.99E-03,"PRKCB,PIK3R5,FN1,TLR4,TLR2,HBEGF,FLNA,PLAU,PLAUR,MMP9,ITGA5,THBS1,LUM"
Beta3 integrin cell surface interactions(N),0.004,43,6,1.47E-04,2.59E-03,"FN1,SPP1,PLAU,TGFBI,PLAUR,THBS1"
Fc-epsilon receptor I signaling in mast cells(N),0.0057,62,7,1.52E-04,2.59E-03,"WIPF1,PRKCB,FCER1G,DUSP1,FOS,LCP2,FCGR2B"
Calcineurin-regulated NFAT-dependent transcription in lymphocytes(N),0.0042,46,6,2.11E-04,3.59E-03,"JUNB,EGR1,EGR2,EGR3,FOS,PTGS2"
Extracellular matrix organization(R),0.0235,255,14,2.51E-04,4.01E-03,"SPARC,ICAM3,KLK7,FN1,TIMP2,SPP1,ADAM8,ITGAM,ITGB2,ITGAX,MMP9,ITGA5,THBS1,LUM"
Toll-Like Receptors Cascades(R),0.013,141,10,2.78E-04,4.41E-03,"S100A12,CD14,FOS,TLR8,TLR4,TLR2,S100A9,S100A8,ITGAM,ITGB2"
Leukocyte transendothelial migration(K),0.0107,116,9,2.94E-04,4.41E-03,"PRKCB,PIK3R5,RAC2,CXCR4,NCF2,NCF4,ITGAM,ITGB2,MMP9"
AP-1 transcription factor network(N),0.0064,70,7,3.16E-04,4.45E-03,"JUNB,EGR1,DUSP1,FOS,FOSB,PLAU,MMP9"
Syndecan-4-mediated signaling events(N),0.0029,32,5,3.18E-04,4.45E-03,"FN1,CXCR4,MMP9,ITGA5,THBS1"
NF-kappa B signaling pathway(K),0.0087,95,8,3.73E-04,5.23E-03,"PRKCB,CD14,IL1B,TLR4,PTGS2,PLAU,BCL2A1,CCL4"
pertussis toxin-insensitive ccr5 signaling in macrophage(B),0.0007,8,3,4.43E-04,5.76E-03,"FOS,CXCR4,CCL4"
Cell surface interactions at the vascular wall(R),0.0191,208,12,4.49E-04,5.84E-03,"FN1,OLR1,FCER1G,SLC7A5,SELPLG,SELL,ITGAM,ITGB2,TREM1,THBD,ITGAX,ITGA5"
Validated transcriptional targets of AP1 family members Fra1 and Fra2(N),0.0034,37,5,6.12E-04,7.93E-03,"JUNB,PLAU,THBD,PLAUR,MMP9"
Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell(R),0.0172,187,11,6.61E-04,7.93E-03,"ICAM3,SIGLEC9,LILRA1,LILRB2,CD300A,TYROBP,SELL,ITGB2,TREM1,FCGR3A,FCGR2B"
Dissolution of Fibrin Clot(R),0.0009,10,3,8.43E-04,0.0101,"PLAT,PLAU,PLAUR"
Natural killer cell mediated cytotoxicity(K),0.0124,135,9,8.62E-04,0.0103,"PRKCB,PIK3R5,RAC2,FCER1G,TYROBP,TNFRSF10C,ITGB2,FCGR3A,LCP2"
TNF signaling pathway(K),0.0101,110,8,9.61E-04,0.0106,"JUNB,PIK3R5,FOS,IL1B,PTGS2,SOCS3,TNFRSF1B,MMP9"
Salmonella infection(K),0.0079,86,7,1.05E-03,0.0115,"CD14,FOS,IL1B,TLR4,FLNA,CCL4,CCL3"
Antimicrobial peptides(R),0.004,44,5,1.31E-03,0.0145,"SLC11A1,TLR2,S100A9,S100A8,DEFA3"
Signal regulatory protein (SIRP) family interactions(R),0.0011,12,3,1.42E-03,0.0156,"SKAP2,TYROBP,FYB"
FGF signaling pathway(N),0.0043,47,5,1.75E-03,0.0175,"FOS,SPP1,PLAU,PLAUR,MMP9"
IL6-mediated signaling events(N),0.0043,47,5,1.75E-03,0.0175,"JUNB,FOS,HCK,SOCS3,PTPRE"
Transcriptional misregulation in cancer(K),0.0166,180,10,1.75E-03,0.0175,"SPI1,IL1R2,CD14,PLAT,PLAU,DEFA3,NR4A3,ITGAM,MMP9,BCL2A1"
IL8- and CXCR1-mediated signaling events(N),0.0026,28,4,1.77E-03,0.0177,"PRKCB,HCK,CXCR1,FGR"
Fc epsilon RI signaling pathway(K),0.0064,70,6,1.84E-03,0.0181,"PIK3R5,RAC2,FCER1G,ALOX5,LCP2,ALOX5AP"
Osteopontin-mediated events(N),0.0027,29,4,2.01E-03,0.0181,"FOS,SPP1,PLAU,MMP9"
GPVI-mediated activation cascade(R),0.0045,49,5,2.10E-03,0.0189,"PIK3R5,RAC2,FCER1G,CSF2RB,LCP2"
B cell receptor signaling pathway(K),0.0067,73,6,2.27E-03,0.0204,"PRKCB,PIK3R5,RAC2,FOS,LILRB3,FCGR2B"
ErbB receptor signaling network(N),0.0014,15,3,2.66E-03,0.0229,"EREG,AREG,HBEGF"
roles of ÃŸ arrestin dependent recruitment of src kinases in gpcr signaling(B),0.0029,32,4,2.86E-03,0.0229,"FPR1,HCK,CXCR4,CCL4"
toll-like receptor pathway(B),0.0029,32,4,2.86E-03,0.0229,"CD14,FOS,TLR4,TLR2"
Alpha4 beta1 integrin signaling events(N),0.003,33,4,3.19E-03,0.0255,"CD14,FN1,SPP1,THBS1"
Beta5 beta6 beta7 and beta8 integrin cell surface interactions(N),0.0016,17,3,3.78E-03,0.0302,"FN1,PLAU,PLAUR"
African trypanosomiasis(K),0.0032,35,4,3.93E-03,0.0314,"PRKCB,HBB,HBA1,IL1B"
ATF-2 transcription factor network(N),0.0053,58,5,4.28E-03,0.0342,"JUNB,DUSP1,FOS,PLAU,SOCS3"
Arachidonic acid metabolism(R),0.0033,36,4,4.34E-03,0.0347,"PTGS2,ALOX5,TBXAS1,ALOX5AP"
IL12-mediated signaling events(N),0.0056,61,5,5.27E-03,0.0376,"FOS,IL1B,IL18RAP,CCL4,CCL3"
Hepatitis B(K),0.0134,146,8,5.38E-03,0.0376,"PRKCB,PIK3R5,EGR2,EGR3,FOS,TLR4,TLR2,MMP9"
Rap1 signaling pathway(K),0.0195,212,10,5.52E-03,0.0387,"PRKCB,FPR1,PIK3R5,RAC2,APBB1IP,ITGAM,ITGB2,LCP2,THBS1,FYB"
Toxoplasmosis(K),0.0109,118,7,5.97E-03,0.0418,"PIK3R5,TLR4,TLR2,ALOX5,IL10RA,PPIF,HSPA6"
Rheumatoid arthritis(K),0.0083,90,6,6.20E-03,0.0434,"FOS,IL1B,TLR4,TLR2,ITGB2,CCL3"
activation of csk by camp-dependent protein kinase inhibits signaling through the t cell receptor(B),0.0038,41,4,6.81E-03,0.0477,"FPR1,CXCR4,PTPRC,CCL4"
HIF-1-alpha transcription factor network(N),0.006,65,5,6.84E-03,0.0479,"ADM,FOS,CXCR4,PFKFB3,ITGB2"
Platelet activation(K),0.0112,122,7,7.10E-03,0.0497,"PIK3R5,FERMT3,FCER1G,APBB1IP,TBXAS1,LCP2,FCGR2A"
Erythrocytes take up oxygen and release carbon dioxide(R),0.0006,7,2,7.30E-03,0.0511,"HBB,HBA1"
TCR signaling in naïve CD4+ T cells(N),0.0062,67,5,7.74E-03,0.0542,"PRKCB,FLNA,PTPRC,LCP2,FYB"
Erythrocytes take up carbon dioxide and release oxygen(R),0.0007,8,2,9.42E-03,0.0565,"HBB,HBA1"
fmlp induced chemokine gene expression in hmc-1 cells(B),0.0022,24,3,9.70E-03,0.0582,"PRKCB,FPR1,NCF2"
Alpha9 beta1 integrin signaling events(N),0.0022,24,3,9.70E-03,0.0582,"FN1,SPP1,ADAM8"
Inflammation mediated by chemokine and cytokine signaling pathway(P),0.0065,71,5,9.77E-03,0.0586,"PREX1,PRKCB,RAC2,SOCS3,ALOX5AP"
AGE-RAGE signaling pathway in diabetic complications(K),0.0093,101,6,0.0106,0.0633,"PRKCB,PIK3R5,EGR1,FN1,IL1B,THBD"
Plasminogen activating cascade(P),0.0008,9,2,0.0118,0.0707,"PLAT,PLAUR"
activation of camp-dependent protein kinase pka(B),0.0024,26,3,0.012,0.0708,"FPR1,CXCR4,CCL4"
ÃŸ-arrestins in gpcr desensitization(B),0.0024,26,3,0.012,0.0708,"FPR1,CXCR4,CCL4"
Chagas disease (American trypanosomiasis)(K),0.0096,104,6,0.012,0.0708,"PIK3R5,FOS,IL1B,TLR4,TLR2,CCL3"
Measles(K),0.0125,136,7,0.0123,0.0708,"PIK3R5,IL1B,TLR4,TLR2,HSPA6,TNFRSF10C,FCGR2B"
GPCR ligand binding(R),0.0363,395,14,0.013,0.0708,"C3AR1,PROK2,FPR1,FPR2,ADM,CXCR4,CXCR1,CXCR2,GPR65,CXCL13,C5AR1,HCAR2,HCAR3,HRH2"
Calcium signaling in the CD4+ TCR pathway(N),0.0025,27,3,0.0133,0.0708,"JUNB,FOS,PTGS2"
Glucocorticoid receptor regulatory network(N),0.0072,78,5,0.0142,0.0708,"SPI1,EGR1,FOS,KRT17,KRT14"
hemoglobins chaperone(B),0.0009,10,2,0.0144,0.0719,"HBB,HBA1"
il22 soluble receptor signaling pathway(B),0.0009,10,2,0.0144,0.0719,"IL10RA,SOCS3"
activation of pkc through g-protein coupled receptors(B),0.0009,10,2,0.0144,0.0719,"PRKCB,CCL4"
role of ÃŸ-arrestins in the activation and targeting of map kinases(B),0.0026,28,3,0.0146,0.0731,"FPR1,CXCR4,CCL4"
Influenza A(K),0.0161,175,8,0.0148,0.0742,"PRKCB,PIK3R5,IL1B,TLR4,SOCS3,NLRP3,HSPA6,TNFRSF10C"
Signaling events mediated by PTP1B(N),0.0048,52,4,0.0151,0.0757,"HCK,SOCS3,FGR,FCGR2A"
CXCR4-mediated signaling events(N),0.0074,80,5,0.0156,0.0781,"HCK,CXCR4,PTPRC,MMP9,FGR"
Regulation of actin cytoskeleton(K),0.0197,214,9,0.0164,0.0821,"PIK3R5,CD14,FN1,RAC2,SSH2,ITGAM,ITGB2,ITGAX,ITGA5"
Alpha-synuclein signaling(N),0.0028,30,3,0.0175,0.0876,"KLK6,HCK,FGR"
Interleukin signaling pathway(P),0.0051,55,4,0.0182,0.091,"SPI1,FOS,CXCR1,IL10RA"
MAPK signaling pathway(K),0.0235,255,10,0.0182,0.091,"PRKCB,IL1R2,CD14,RAC2,DUSP1,FOS,IL1B,FLNA,RASGRP4,HSPA6"
Regulation of p38-alpha and p38-beta(N),0.0029,31,3,0.0191,0.0938,"DUSP1,HCK,FGR"
Detoxification of Reactive Oxygen Species(R),0.0029,31,3,0.0191,0.0938,"NCF2,NCF4,SOD2"
"ROS, RNS production in phagocytes(R)",0.0029,32,3,0.0207,0.0938,"SLC11A1,NCF2,NCF4"
ErbB signaling pathway(K),0.0081,88,5,0.0225,0.0938,"PRKCB,EREG,PIK3R5,AREG,HBEGF"
B cell activation(P),0.0054,59,4,0.0228,0.0938,"PRKCB,RAC2,FOS,PTPRC"
il 3 signaling pathway(B),0.0012,13,2,0.0235,0.0938,"FOS,CSF2RB"
cadmium induces dna synthesis and proliferation in macrophages(B),0.0012,13,2,0.0235,0.0938,"PRKCB,FOS"
IL1-mediated signaling events(N),0.0031,34,3,0.0242,0.0969,"IL1RN,IL1R2,IL1B"
VEGF signaling pathway(K),0.0056,61,4,0.0254,0.1015,"PRKCB,PIK3R5,RAC2,PTGS2"
Integrin signalling pathway(P),0.0145,158,7,0.0255,0.102,"FN1,RAC2,FLNA,ITGAM,ITGB2,ITGAX,ITGA5"
signal transduction through il1r(B),0.0032,35,3,0.0261,0.1043,"IL1RN,FOS,IL1B"
JNK signaling in the CD4+ TCR pathway(N),0.0013,14,2,0.0269,0.1076,"PRKCB,LCP2"
oxidative stress induced gene expression via nrf2(B),0.0013,14,2,0.0269,0.1076,"PRKCB,FOS"
Ras signaling in the CD4+ TCR pathway(N),0.0013,14,2,0.0269,0.1076,"PRKCB,FOS"
chrebp regulation by carbohydrates and camp(B),0.0033,36,3,0.028,0.1121,"FPR1,CXCR4,CCL4"
Downstream signaling in naïve CD8+ T cells(N),0.0059,64,4,0.0295,0.118,"JUNB,PRKCB,EGR1,FOS"
IL23-mediated signaling events(N),0.0034,37,3,0.03,0.1201,"IL1B,IL18RAP,SOCS3"
GMCSF-mediated signaling events(N),0.0034,37,3,0.03,0.1201,"FOS,OSM,CSF2RB"
Focal adhesion(K),0.0185,201,8,0.0305,0.1221,"PRKCB,PIK3R5,FN1,RAC2,SPP1,FLNA,ITGA5,THBS1"
Semaphorin interactions(R),0.006,65,4,0.031,0.1239,"RAC2,PLXNC1,TYROBP,PTPRC"
Inflammatory bowel disease (IBD)(K),0.006,65,4,0.031,0.1239,"IL1B,TLR4,TLR2,IL18RAP"
BCR signaling pathway(N),0.006,65,4,0.031,0.1239,"FOS,PTPRC,BCL2A1,FCGR2B"
Direct p53 effectors(N),0.0121,132,6,0.0336,0.1343,"PLK3,BTG2,DUSP1,SPP1,TNFRSF10C,BCL2A1"
Estrogen signaling pathway(K),0.0092,100,5,0.0359,0.1437,"PIK3R5,FOS,HBEGF,HSPA6,MMP9"
Ligand-dependent caspase activation(R),0.0016,17,2,0.0383,0.1532,"CD14,TLR4"
Bladder cancer(K),0.0038,41,3,0.0388,0.1552,"HBEGF,MMP9,THBS1"
C-type lectin receptors (CLRs)(R),0.0128,139,6,0.0414,0.158,"ICAM3,FCER1G,IL1B,CLEC4D,CLEC4E,CLEC7A"
ion channels and their functional role in vascular endothelium(B),0.004,43,3,0.0436,0.158,"FPR1,CXCR4,CCL4"
Cell adhesion molecules (CAMs)(K),0.0133,145,6,0.049,0.158,"ICAM3,SELPLG,PTPRC,SELL,ITGAM,ITGB2"
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate(K),0.0018,20,2,0.0512,0.158,"CHST11,CHST15"
hiv-1 defeats host-mediated resistance by cem15(B),0.0003,3,1,0.0527,0.158,CXCR4
keratinocyte differentiation(B),0.0043,47,3,0.0541,0.1624,"PRKCB,FOS,PLAT"
t cell receptor signaling pathway(B),0.0044,48,3,0.0569,0.1708,"PRKCB,FOS,NCF2"
T cell activation(P),0.0075,81,4,0.0601,0.1804,"RAC2,FOS,PTPRC,LCP2"
EGF receptor signaling pathway(P),0.0075,82,4,0.0623,0.187,"PRKCB,AREG,RAC2,HBEGF"
ECM-receptor interaction(K),0.0075,82,4,0.0623,0.187,"FN1,SPP1,ITGA5,THBS1"
Jak-STAT signaling pathway(K),0.0145,158,6,0.0681,0.2043,"PIK3R5,IL10RA,OSM,CSF3R,CSF2RB,SOCS3"
inhibition of matrix metalloproteinases(B),0.0004,4,1,0.0696,0.2088,TIMP2
fosb gene expression and drug abuse(B),0.0004,4,1,0.0696,0.2088,FOSB
nfkb activation by nontypeable hemophilus influenzae(B),0.0022,24,2,0.0704,0.2112,"IL1B,TLR2"
Ephrin B reverse signaling(N),0.0022,24,2,0.0704,0.2112,"HCK,FGR"
Thromboxane A2 receptor signaling(N),0.005,54,3,0.0751,0.2226,"PRKCB,HCK,FGR"
TCR signaling in naïve CD8+ T cells(N),0.005,54,3,0.0751,0.2226,"PRKCB,PTPRC,LCP2"
IL2-mediated signaling events(N),0.005,54,3,0.0751,0.2226,"PRKCB,FOS,SOCS3"
VEGFR3 signaling in lymphatic endothelium(N),0.0023,25,2,0.0755,0.2226,"FN1,ITGA5"
fc epsilon receptor i signaling in mast cells(B),0.0023,25,2,0.0755,0.2226,"FCER1G,FOS"
Glypican 1 network(N),0.0023,25,2,0.0755,0.2226,"HCK,FGR"
tpo signaling pathway(B),0.0023,25,2,0.0755,0.2226,"PRKCB,FOS"
bcr signaling pathway(B),0.0024,26,2,0.0807,0.2226,"PRKCB,FOS"
IL3-mediated signaling events(N),0.0024,26,2,0.0807,0.2226,"OSM,CSF2RB"
pdgf signaling pathway(B),0.0024,26,2,0.0807,0.2226,"PRKCB,FOS"
Integrin alphaIIb beta3 signaling(R),0.0025,27,2,0.0861,0.2226,"FN1,APBB1IP"
PLK3 signaling events(N),0.0005,5,1,0.0863,0.2226,PLK3
NOD-like receptor signaling pathway(K),0.0156,170,6,0.0891,0.2226,"NAMPT,MEFV,IL1B,TLR4,NLRP12,NLRP3"
HTLV-I infection(K),0.0237,258,8,0.0972,0.2226,"SPI1,IL1R2,PIK3R5,EGR1,EGR2,FOS,ZFP36,ITGB2"
Signaling by PTK6(R),0.0056,61,3,0.0991,0.2226,"EREG,HBEGF,SOCS3"
platelet amyloid precursor protein pathway(B),0.0006,6,1,0.1026,0.2226,PLAT
Blood coagulation(P),0.0006,6,1,0.1026,0.2226,PLAU
GPCR downstream signaling(R),0.0842,915,22,0.1026,0.2226,"PREX1,C3AR1,PROK2,FPR1,FPR2,PIK3R5,OR2J3,ADM,RAC2,CXCR4,CXCR1,CXCR2,GPR65,CXCL13,RGS2,C5AR1,CSF2RB,HCAR2,HCAR3,HRH2,PDE4B,RGS18"
Endocrine resistance(K),0.009,98,4,0.1027,0.2226,"PIK3R5,FOS,HBEGF,MMP9"
Surfactant metabolism(R),0.0028,30,2,0.1027,0.2226,"SLC34A2,CSF2RB"
Colorectal cancer(K),0.0057,62,3,0.1028,0.2226,"PIK3R5,RAC2,FOS"
Arachidonic acid metabolism(K),0.0057,62,3,0.1028,0.2226,"PTGS2,ALOX5,TBXAS1"
Pathways in cancer(K),0.0365,397,11,0.1063,0.2226,"SPI1,PRKCB,PIK3R5,FN1,RAC2,FOS,CXCR4,PTGS2,CSF3R,RASGRP4,MMP9"
IL4-mediated signaling events(N),0.0058,63,3,0.1065,0.2226,"SPI1,EGR2,SOCS3"
LPA receptor mediated events(N),0.0058,63,3,0.1065,0.2226,"FOS,HBEGF,MMP9"
ErbB1 downstream signaling(N),0.0092,100,4,0.1084,0.2226,"EGR1,DUSP1,FOS,ZFP36"
IL12 signaling mediated by STAT4(N),0.0029,31,2,0.1084,0.2226,"FOS,IL18RAP"
role of egf receptor transactivation by gpcrs in cardiac hypertrophy(B),0.0029,31,2,0.1084,0.2226,"PRKCB,FOS"
EPHA forward signaling(N),0.0029,31,2,0.1084,0.2226,"HCK,FGR"
Longevity regulating pathway - multiple species(K),0.0059,64,3,0.1102,0.2226,"PIK3R5,HSPA6,SOD2"
Apoptosis(K),0.0129,140,5,0.1109,0.2226,"PIK3R5,FOS,CSF2RB,TNFRSF10C,BCL2A1"
Choline metabolism in cancer(K),0.0093,101,4,0.1113,0.2226,"PRKCB,PIK3R5,RAC2,FOS"
HIF-1 signaling pathway(K),0.0095,103,4,0.1173,0.2345,"PRKCB,PIK3R5,TLR4,PFKFB3"
cbl mediated ligand-induced downregulation of egf receptors pathway(B),0.0006,7,1,0.1186,0.2373,PRKCB
Trk receptor signaling mediated by the MAPK pathway(N),0.003,33,2,0.1201,0.2402,"EGR1,FOS"
angiotensin ii mediated activation of jnk pathway via pyk2 dependent signaling(B),0.003,33,2,0.1201,0.2402,"PRKCB,FOS"
Phospholipase D signaling pathway(K),0.0133,144,5,0.1209,0.2417,"PIK3R5,FCER1G,CXCR1,CXCR2,CYTH4"
T cell receptor signaling pathway(K),0.0097,105,4,0.1233,0.2466,"PIK3R5,FOS,PTPRC,LCP2"
Interferon alpha/beta signaling(R),0.0063,68,3,0.1258,0.2515,"IFITM2,EGR1,SOCS3"
Epithelial cell signaling in Helicobacter pylori infection(K),0.0063,68,3,0.1258,0.2515,"HBEGF,CXCR1,CXCR2"
Amphetamine addiction(K),0.0063,68,3,0.1258,0.2515,"PRKCB,FOS,FOSB"
Prion diseases(K),0.0032,35,2,0.1321,0.2642,"EGR1,IL1B"
Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway(P),0.0099,108,4,0.1327,0.2654,"PRKCB,RGS2,RASGRP4,RGS18"
Adipocytokine signaling pathway(K),0.0064,70,3,0.1338,0.2676,"ACSL1,SOCS3,TNFRSF1B"
tsp-1 induced apoptosis in microvascular endothelial cell(B),0.0007,8,1,0.1344,0.2679,FOS
inactivation of gsk3 by akt causes accumulation of b-catenin in alveolar macrophages(B),0.0033,36,2,0.1382,0.2679,"CD14,TLR4"
Prolactin signaling pathway(K),0.0066,72,3,0.142,0.2679,"PIK3R5,FOS,SOCS3"
Platelet Aggregation (Plug Formation)(R),0.0034,37,2,0.1443,0.2679,"FN1,APBB1IP"
Serotonergic synapse(K),0.0104,113,4,0.1489,0.2679,"PRKCB,DUSP1,PTGS2,ALOX5"
btg family proteins and cell cycle regulation(B),0.0008,9,1,0.1499,0.2679,BTG2
Regulation of RAC1 activity(N),0.0035,38,2,0.1505,0.2679,"PREX1,DOCK2"
"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways(R)",0.0035,38,2,0.1505,0.2679,"MEFV,NLRP3"
cAMP signaling pathway(K),0.0184,200,6,0.1551,0.2679,"PIK3R5,RAC2,FOS,HCAR2,HCAR3,PDE4B"
Aldosterone-regulated sodium reabsorption(K),0.0036,39,2,0.1568,0.2679,"PRKCB,PIK3R5"
Fcgamma receptor (FCGR) dependent phagocytosis(R),0.0146,159,5,0.1617,0.2679,"WIPF1,HCK,FCGR3A,FGR,FCGR2A"
Oxytocin signaling pathway(K),0.0146,159,5,0.1617,0.2679,"PRKCB,PIK3R5,FOS,PTGS2,RGS2"
Class I PI3K signaling events(N),0.0037,40,2,0.1631,0.2679,"HCK,FGR"
overview of telomerase protein component gene htert transcriptional regulation(B),0.0009,10,1,0.1651,0.2679,MXD1
GP1b-IX-V activation signalling(R),0.0009,10,1,0.1651,0.2679,FLNA
cxcr4 signaling pathway(B),0.0009,10,1,0.1651,0.2679,CXCR4
cardiac protection against ros(B),0.0009,10,1,0.1651,0.2679,SOD2
g-protein signaling through tubby proteins(B),0.0009,10,1,0.1651,0.2679,CCL4
g-secretase mediated erbb4 signaling pathway(B),0.0009,10,1,0.1651,0.2679,PRKCB
effects of calcineurin in keratinocyte differentiation(B),0.0009,10,1,0.1651,0.2679,PRKCB
PI3K-Akt signaling pathway(K),0.0314,341,9,0.1655,0.2679,"PIK3R5,FN1,TLR4,TLR2,SPP1,OSM,CSF3R,ITGA5,THBS1"
Bacterial invasion of epithelial cells(K),0.0072,78,3,0.1676,0.2679,"PIK3R5,FN1,ITGA5"
Fat digestion and absorption(K),0.0038,41,2,0.1695,0.2679,"ABCA1,DGAT2"
