Gene Set,Ratio of Protein In Gene Set,Number of Protein in Gene Set,Protein From Network,P-value,FDR,Nodes
Herpes simplex infection(K),0.017,185,4,0.1278,0.2211,"SOCS3,SRPK1,UBE2R2,TLR2"
Neurotrophin signaling pathway(K),0.0111,121,3,0.1324,0.2211,"MAPK3,SORT1,MAPK14"
VEGF signaling pathway(K),0.0056,61,2,0.133,0.2211,"MAPK3,MAPK14"
S1P4 pathway(N),0.0013,14,1,0.1356,0.2211,MAPK3
il 4 signaling pathway(B),0.0013,14,1,0.1356,0.2211,MAPK3
the 41bb-dependent immune response(B),0.0013,14,1,0.1356,0.2211,MAPK3
apoptotic signaling in response to dna damage(B),0.0013,14,1,0.1356,0.2211,MAPK3
Ras signaling in the CD4+ TCR pathway(N),0.0013,14,1,0.1356,0.2211,MAPK3
Endothelins(N),0.0057,62,2,0.1365,0.2211,"MAPK3,MAPK14"
Ras Pathway(P),0.0058,63,2,0.14,0.2211,"MAPK3,MAPK14"
Regulation of retinoblastoma protein(N),0.0059,64,2,0.1436,0.2211,"SPI1,MAPK14"
telomeres telomerase cellular aging and immortality(B),0.0014,15,1,0.1445,0.2211,MAPK3
ErbB receptor signaling network(N),0.0014,15,1,0.1445,0.2211,TGFA
calcium signaling by hbx of hepatitis b virus(B),0.0014,15,1,0.1445,0.2211,MAPK3
Folate biosynthesis(K),0.0014,15,1,0.1445,0.2211,ALPL
Arf6 downstream pathway(N),0.0014,15,1,0.1445,0.2211,MAPK3
aspirin blocks signaling pathway involved in platelet activation(B),0.0014,15,1,0.1445,0.2211,MAPK3
Interferon-gamma signaling pathway(P),0.0014,15,1,0.1445,0.2211,SOCS3
regulation of cell cycle progression by plk3(B),0.0014,15,1,0.1445,0.2211,MAPK3
HIF-1-alpha transcription factor network(N),0.006,65,2,0.1471,0.2211,"PFKFB3,ADM"
Signalling by NGF(R),0.0387,421,7,0.1496,0.2211,"IRS2,MEF2A,CSF2RA,RASGRP4,RASGEF1A,MAPK3,MAPK14"
Glioma(K),0.0061,66,2,0.1507,0.2211,"TGFA,MAPK3"
Pancreatic cancer(K),0.0061,66,2,0.1507,0.2211,"TGFA,MAPK3"
bone remodeling(B),0.0015,16,1,0.1534,0.2211,MAPK3
nerve growth factor pathway (ngf)(B),0.0015,16,1,0.1534,0.2211,MAPK3
RAF-independent MAPK1/3 activation(R),0.0015,16,1,0.1534,0.2211,MAPK3
Thiamine metabolism(K),0.0015,16,1,0.1534,0.2211,ALPL
akt signaling pathway(B),0.0015,16,1,0.1534,0.2211,MAPK3
the igf-1 receptor and longevity(B),0.0015,16,1,0.1534,0.2211,MAPK3
role of nicotinic acetylcholine receptors in the regulation of apoptosis(B),0.0015,16,1,0.1534,0.2211,MAPK3
role of mal in rho-mediated activation of srf(B),0.0015,16,1,0.1534,0.2211,MAPK3
Renal cell carcinoma(K),0.0062,67,2,0.1543,0.2211,"TGFA,MAPK3"
Focal adhesion(K),0.0185,201,4,0.1579,0.2211,"COL9A2,FLT1,MAPK3,ZYX"
Regulation of Telomerase(N),0.0063,68,2,0.158,0.2211,"SAP30,MAPK3"
Direct p53 effectors(N),0.0121,132,3,0.159,0.2211,"TGFA,GADD45A,BCL2A1"
Hepatitis C(K),0.0122,133,3,0.1615,0.2211,"SOCS3,MAPK3,MAPK14"
control of skeletal myogenesis by hdac and calcium/calmodulin-dependent kinase (camk)(B),0.0016,17,1,0.1621,0.2211,MAPK3
Nitrogen metabolism(K),0.0016,17,1,0.1621,0.2211,CA4
pten dependent cell cycle arrest and apoptosis(B),0.0016,17,1,0.1621,0.2211,MAPK3
Thrombin signalling through proteinase activated receptors (PARs)(R),0.0016,17,1,0.1621,0.2211,MAPK3
phosphoinositides and their downstream targets(B),0.0016,17,1,0.1621,0.2211,MAPK3
Ligand-dependent caspase activation(R),0.0016,17,1,0.1621,0.2211,LY96
gata3 participate in activating the th2 cytokine genes expression(B),0.0016,17,1,0.1621,0.2211,MAPK3
hypoxia-inducible factor in the cardivascular system(B),0.0016,17,1,0.1621,0.2211,ASPH
Signal amplification(R),0.0016,17,1,0.1621,0.2211,MAPK14
CDC42 signaling events(N),0.0064,70,2,0.1652,0.2211,"MAPK3,MAPK14"
Fc epsilon RI signaling pathway(K),0.0064,70,2,0.1652,0.2211,"MAPK3,MAPK14"
Proteoglycans in cancer(K),0.0189,205,4,0.1658,0.2211,"MMP9,TLR2,MAPK3,MAPK14"
map kinase inactivation of smrt corepressor(B),0.0017,18,1,0.1708,0.2211,MAPK3
Regulation of cytoplasmic and nuclear SMAD2/3 signaling(N),0.0017,18,1,0.1708,0.2211,MAPK3
Pantothenate and CoA biosynthesis(K),0.0017,18,1,0.1708,0.2211,VNN1
S1P1 pathway(N),0.0017,18,1,0.1708,0.2211,MAPK3
mets affect on macrophage differentiation(B),0.0017,18,1,0.1708,0.2211,ETS2
Ubiquitin mediated proteolysis(K),0.0126,137,3,0.1716,0.2211,"UBE2J1,SOCS3,UBE2R2"
Adherens junction(K),0.0066,72,2,0.1726,0.2211,"WAS,MAPK3"
Metabolism of water-soluble vitamins and cofactors(R),0.0067,73,2,0.1763,0.2211,"VNN1,TCN1"
Apoptosis(K),0.0129,140,3,0.1793,0.2211,"GADD45A,BCL2A1,MAPK3"
Cellular roles of Anthrax toxin(N),0.0017,19,1,0.1794,0.2211,MAPK3
sprouty regulation of tyrosine kinase signals(B),0.0017,19,1,0.1794,0.2211,MAPK3
tgf beta signaling pathway(B),0.0017,19,1,0.1794,0.2211,MAPK3
fas signaling pathway (cd95)(B),0.0017,19,1,0.1794,0.2211,MAPK3
tumor suppressor arf inhibits ribosomal biogenesis(B),0.0017,19,1,0.1794,0.2211,MAPK3
Rap1 signaling pathway(K),0.0195,212,4,0.18,0.2211,"FLT1,SIPA1L2,MAPK3,MAPK14"
O-linked glycosylation(R),0.0069,75,2,0.1837,0.2211,"B3GNT5,B4GALT5"
tnf/stress related signaling(B),0.0018,20,1,0.1879,0.2211,MAPK3
role of brca1 brca2 and atr in cancer susceptibility(B),0.0018,20,1,0.1879,0.2211,MAPK3
lissencephaly gene (lis1) in neuronal migration and development(B),0.0018,20,1,0.1879,0.2211,MAPK3
regulation of bad phosphorylation(B),0.0018,20,1,0.1879,0.2211,MAPK3
Asparagine N-linked glycosylation(R),0.0202,219,4,0.1945,0.2211,"TGFA,F5,B4GALT5,CD59"
Hepatitis B(K),0.0134,146,3,0.1949,0.2211,"MMP9,TLR2,MAPK3"
egf signaling pathway(B),0.0019,21,1,0.1963,0.2211,MAPK3
cell cycle: g1/s check point(B),0.0019,21,1,0.1963,0.2211,MAPK3
induction of apoptosis through dr3 and dr4/5 death receptors(B),0.0019,21,1,0.1963,0.2211,MAPK3
erk1/erk2 mapk signaling pathway(B),0.0019,21,1,0.1963,0.2211,MAPK3
E-cadherin signaling in keratinocytes(N),0.0019,21,1,0.1963,0.2211,ZYX
igf-1 signaling pathway(B),0.0019,21,1,0.1963,0.2211,MAPK3
segmentation clock(B),0.0019,21,1,0.1963,0.2211,MAPK3
Arginine biosynthesis(K),0.0019,21,1,0.1963,0.2211,ARG1
how progesterone initiates the oocyte maturation(B),0.0019,21,1,0.1963,0.2211,MAPK3
nf-kb signaling pathway(B),0.0019,21,1,0.1963,0.2211,IL1R1
p38 signaling mediated by MAPKAP kinases(N),0.0019,21,1,0.1963,0.2211,MAPK14
Complement and coagulation cascades(K),0.0073,79,2,0.1987,0.2211,"F5,CD59"
TGF-beta signaling pathway(P),0.0074,80,2,0.2025,0.2211,"MAPK3,MAPK14"
Adrenergic signaling in cardiomyocytes(K),0.0137,149,3,0.2028,0.2211,"SLC8A1,MAPK3,MAPK14"
stathmin and breast cancer resistance to antimicrotubule agents(B),0.002,22,1,0.2047,0.2211,MAPK3
intrinsic prothrombin activation pathway(B),0.002,22,1,0.2047,0.2211,F5
ras signaling pathway(B),0.002,22,1,0.2047,0.2211,MAPK3
inhibition of cellular proliferation by gleevec(B),0.002,22,1,0.2047,0.2211,MAPK3
ccr3 signaling in eosinophils(B),0.002,22,1,0.2047,0.2211,MAPK3
influence of ras and rho proteins on g1 to s transition(B),0.002,22,1,0.2047,0.2211,MAPK3
signaling pathway from g-protein families(B),0.002,22,1,0.2047,0.2211,MAPK3
TRAIL signaling pathway(N),0.002,22,1,0.2047,0.2211,MAPK3
T cell activation(P),0.0075,81,2,0.2063,0.2211,"WAS,MAPK3"
EGFR tyrosine kinase inhibitor resistance(K),0.0075,81,2,0.2063,0.2211,"TGFA,MAPK3"
C-MYB transcription factor network(N),0.0075,82,2,0.21,0.2211,"SPI1,ETS2"
L1CAM interactions(R),0.0075,82,2,0.21,0.2211,"CD24,MAPK3"
links between pyk2 and map kinases(B),0.0021,23,1,0.2129,0.2211,MAPK3
regulation of eif-4e and p70s6 kinase(B),0.0021,23,1,0.2129,0.2211,MAPK3
Signaling events mediated by PRL(N),0.0021,23,1,0.2129,0.2211,MAPK3
role of erk5 in neuronal survival pathway(B),0.0021,23,1,0.2129,0.2211,MAPK3
Proximal tubule bicarbonate reclamation(K),0.0021,23,1,0.2129,0.2211,CA4
corticosteroids and cardioprotection(B),0.0022,24,1,0.2211,0.2211,MAPK3
mtor signaling pathway(B),0.0022,24,1,0.2211,0.2211,MAPK3
transcription factor creb and its extracellular signals(B),0.0022,24,1,0.2211,0.2211,MAPK3
p53 pathway feedback loops 2(P),0.0022,24,1,0.2211,0.2211,MAPK14
skeletal muscle hypertrophy is regulated via akt-mtor pathway(B),0.0022,24,1,0.2211,0.2211,MAPK3
fmlp induced chemokine gene expression in hmc-1 cells(B),0.0022,24,1,0.2211,0.2211,MAPK3
Alpha9 beta1 integrin signaling events(N),0.0022,24,1,0.2211,0.2211,CSF2RA
Jak-STAT signaling pathway(K),0.0145,158,3,0.2271,0.2271,"CSF2RA,SOCS3,OSM"
Regulation of mRNA stability by proteins that bind AU-rich elements(R),0.008,87,2,0.2291,0.2291,"ZFP36L1,MAPK14"
